"V1" "V2" "V3" "V4"
"result.1" 0.0125 0.00763746198551296 0.0102832363337108 0.00203696878883769
"result.2" 0 0.00280905161454361 0 0.00137262240384294
"result.3" 0.0175 0.0231341020978792 0.0113790299776529 0.00567050500146601
"result.4" 0.00333333333333333 0.0305792579071653 0.00333333333333333 0.00627236202305482
"result.5" 0.0175396825396825 0.0406528916787084 0.0106694588955142 0.00807954890211185
"result.6" 0.00538690476190476 0.0465788842885402 0.00302943444764239 0.00882499292772424
"result.7" 0.0266666666666667 0.00524559219347339 0.0154832373788765 0.00199231688266215
"result.8" 0.00616666666666667 0.0082946903936011 0.00357424852594955 0.00327765817982774
"result.9" 0.00216666666666667 0.0194386164157299 0.00173520683520518 0.00556829059762883
"result.10" 0.035 0.0194742530317987 0.0177738316327429 0.00551085484038989
"result.11" 0.0178333333333333 0.0287618833509671 0.0109258674312193 0.00618290087601634
"result.12" 0.00209930047556027 0.0507787371917646 0.00119218887391172 0.00970300928463624
"result.13" 0.0315544455544456 0.113066938573483 0.0147007596595406 0.0118903377924516
"result.14" 0.0210739260739261 0.17729738830771 0.00596665817321735 0.0162403569012398
"result.15" 0.0101622807017544 0.259989965545462 0.00454103869004425 0.0164505850770874
"result.16" 0.0153558320035807 0.331430016549744 0.00425878660843164 0.0188061896230606
"result.17" 0.0276584840597998 0.386813707139362 0.00594254536912051 0.0179218418241598
"result.18" 0.0218585164319684 0.472699452739288 0.00449365504045225 0.0170441303213561
"result.19" 0.0195294861863224 0.206315528643024 0.00414828760368024 0.0127343187203012
"result.20" 0.0208010426430921 0.299186034921414 0.0033050623607315 0.0157386298648926
"result.21" 0.0225611968927506 0.386491478720254 0.00242770638678112 0.0136051515070336
"result.22" 0.0327739369208198 0.407259252572174 0.00381018138429027 0.014641792684471
"result.23" 0.0456188167104006 0.485011663805141 0.00585969745210632 0.0162815086441452
"result.24" 0.0340380462632538 0.532980191907696 0.00333795089581375 0.0122878094679576
