"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.0760238095238095 0.0478968253968254 0.0301762192572518 0.0218165283614762 0.0246263972467005 0.0201737617373514 0.00583303833127031 0.00561247625148698
"result.2" 0.0304285714285714 0.0180606060606061 0.039569521757585 0.0191836416811663 0.0126776336123154 0.0109768936714361 0.00678792079831857 0.00475379350301844
"result.3" 0.0388333333333333 0.0448717948717949 0.0475342602022328 0.0264395384136728 0.0178581752146672 0.0187355294176205 0.00875829456820092 0.00615887731824703
"result.4" 0.0707222222222222 0.048008658008658 0.0629593261266792 0.030439940495293 0.0226364115270904 0.0199861117549419 0.00948972717582621 0.00623582237281881
"result.5" 0.0419519632414369 0.00457575757575758 0.0980532588195639 0.0555843450717375 0.0156917999799549 0.00273304663774502 0.0128151131933933 0.010586065789291
"result.6" 0.0340745528980823 0.027261655011655 0.124321053526129 0.0731628950472563 0.00922858969595649 0.0124203125997092 0.0155206755685761 0.0109940205381668
"result.7" 0.0190281531270662 0.0129273528407779 0.0629298243815294 0.0298295296893986 0.0049213944536017 0.00606436579578984 0.00896110700239453 0.00708272854821694
"result.8" 0.0416411516590733 0.0357001326846528 0.0599277357247244 0.0269423370469209 0.0148134598691033 0.015730103126898 0.00913679420427182 0.00609681190499394
"result.9" 0.0348013594209087 0.0510263157894737 0.0776088951083289 0.0338162530199116 0.0127643896530633 0.0218925327262858 0.0107424503308292 0.00662585775104482
"result.10" 0.0276986150667158 0.0269135849813269 0.118194789230915 0.0479765327594075 0.00775845129463947 0.0142985962854112 0.0130428567481048 0.0080551235801699
"result.11" 0.071954001740818 0.0786655607468893 0.117771383317159 0.0453534046216508 0.0214204803123369 0.0259455536403939 0.0141755920562292 0.0107165362664752
"result.12" 0.041739997114179 0.0670448028673835 0.119443910639493 0.0390064779203711 0.0156264518948562 0.0228409171681277 0.0135571399702906 0.00791673982619806
"result.13" 0.0304007936507937 0.0129848484848485 0.0886651272070365 0.0526887280140287 0.0090752833223144 0.00632834731963882 0.0114371440288484 0.00858912592686214
"result.14" 0.0287142857142857 0.00587524403700874 0.111600436108748 0.064971127380893 0.0144026626418446 0.00260210261305822 0.0135211648080125 0.0114842878827203
"result.15" 0.0162340576090576 0.0175013736263736 0.187426617287706 0.105503689119561 0.00589272947146351 0.00776193284623418 0.0181345350283257 0.0143624970861811
"result.16" 0.0515706376956377 0.0336229229707491 0.238186160348549 0.158943887263804 0.0156504519604927 0.0148939904168543 0.0208715171089934 0.0191553795780192
"result.17" 0.0255223429951691 0.0215636625007334 0.300391648590184 0.187745257919673 0.00826898164763394 0.011497916676519 0.0195074740213923 0.0194513374706157
"result.18" 0.0361674727192462 0.0234454507480823 0.330981034526582 0.217522542564016 0.011147034264006 0.0109113705490377 0.0197350980408136 0.0200395019497908
"result.19" 0.0321620843913362 0.0176493106219326 0.149933391405731 0.0603518601248861 0.00580511212399656 0.00631543353877654 0.0120887535632811 0.00927605530932737
"result.20" 0.0209565966982048 0.0311787271728173 0.217987736163947 0.0916549617402813 0.00357098224037817 0.0150823048299014 0.015389272724632 0.0114890274209361
"result.21" 0.0326106226555636 0.0275510563871338 0.287660451433338 0.13507972651588 0.0102468467670212 0.0142424616848488 0.0163488321623465 0.0160899283427718
"result.22" 0.0241452326793527 0.0363338200583293 0.33703934655475 0.17533396454117 0.00478290666026299 0.0158161547053432 0.0171187110548724 0.0173835436269754
"result.23" 0.0390413989188379 0.0431596839383607 0.34821619304128 0.187861732057467 0.00673662800420523 0.0172883437318192 0.017246317814819 0.016855785634914
"result.24" 0.037281851438004 0.0641107916971267 0.424415997676477 0.22620170370861 0.00711026945692063 0.0185143189791017 0.0163610339177369 0.0189690975304651
