"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.0512146779455858 0.0476083000852146 0.774633936086184 0.716248252541108 0.00619068335107949 0.00666981892722877 0.014239655796282 0.0164705284900868
"result.2" 0.0405268159756952 0.0386053587572538 0.803662049035344 0.758355065553245 0.00490161818948783 0.00592311962389297 0.0144965543919421 0.0177666311784794
"result.3" 0.0375901877958931 0.0518859628329409 0.841867918674808 0.820163217844398 0.00492557713379768 0.00881085076772592 0.0126595751770419 0.012525487535165
"result.4" 0.0467834400302043 0.0484398573660084 0.866760930028462 0.840526779713189 0.00675518440588107 0.0076756459310317 0.00936259651031339 0.0112116257846064
"result.5" 0.0407845133433346 0.0442569333785459 0.894641223303199 0.872923021680839 0.00488725714576565 0.00789426800072164 0.00824958983377245 0.00942849740384688
"result.6" 0.0376149655784824 0.059800183859888 0.902231174549486 0.882541803861578 0.00456888814854704 0.00843696392422111 0.00841677604070898 0.00923390639842133
"result.7" 0.0372306185064439 0.0635944709712962 0.799765242216865 0.739133823593454 0.00309754998500408 0.00675717377360283 0.00802033491667102 0.0114206356025349
"result.8" 0.0404204598418593 0.0802779563655727 0.850343017897506 0.798739510433524 0.00362264052684017 0.00885425340283254 0.00644587459701795 0.0107139758375563
"result.9" 0.0478566579410444 0.102587051875402 0.866335857848282 0.810738416486449 0.00423887477277182 0.0114871660462458 0.00617746589477964 0.0116108844134716
"result.10" 0.0474698976795516 0.117110636793057 0.879768849549997 0.819745951838178 0.00339618295204924 0.0110457653617829 0.00617128468860075 0.010910205455692
"result.11" 0.051203451940099 0.117172141692375 0.900652135936523 0.853921753261876 0.00405606122696823 0.010814736938907 0.00479730154564234 0.00813525049198006
"result.12" 0.0523244647050986 0.128820141189966 0.898737979105623 0.847766023643154 0.00414977013897172 0.0118455432758941 0.00555140678257138 0.0101921702707111
"result.13" 0.0388483154439689 0.0408609386425996 0.823274483468721 0.812405719903321 0.00484930004702423 0.00607192557069579 0.00757200979360794 0.0078848232658198
"result.14" 0.0394586177051162 0.0395323460381214 0.849764021060281 0.840403392392779 0.00439949186343869 0.00487931024695704 0.00727732509233296 0.00735789816842175
"result.15" 0.0554784439094297 0.0559069314266251 0.884761325689765 0.875045060881244 0.00441522230981021 0.00827387160182581 0.00659377689452838 0.00711181112014343
"result.16" 0.0497559258046067 0.0648050653843328 0.907389554527158 0.89861480683604 0.00472446606808725 0.00822181745380235 0.00580257791084728 0.00616505009379804
"result.17" 0.0388794176640822 0.0535107840188111 0.936666273515994 0.927432385899443 0.00396468677878424 0.00728966708575129 0.00459058455106208 0.00510344055756376
"result.18" 0.045373012485721 0.0547002950665036 0.951808693770704 0.946377061880262 0.00419611081999954 0.00689219505965162 0.00419727109692517 0.004330105154889
"result.19" 0.0342312214419174 0.0449930300922681 0.839550143066046 0.830022681075312 0.00181790118574712 0.00306475511725662 0.00377888809532883 0.00417453218435369
"result.20" 0.0360204766538639 0.0554640897564584 0.869934656754981 0.859053591834141 0.00199294997554636 0.00455551354756393 0.00366472552493426 0.00391909871973455
"result.21" 0.0422788934396454 0.0885317943833838 0.898710692506729 0.884139646168169 0.00336002965901655 0.00910240006926631 0.00329023940881645 0.00371545849734024
"result.22" 0.0493992633102286 0.133912648254774 0.907638812233212 0.891495930641127 0.0036401865413155 0.00924193715494349 0.00327819536280876 0.00379562941222165
"result.23" 0.0505081016437489 0.126850133253309 0.938476922967719 0.926310042575033 0.00374615469332107 0.0117895229468588 0.00284764882415138 0.00311441806589441
"result.24" 0.0669488799707926 0.197767376337209 0.947896977065888 0.936139611049019 0.00432583760973518 0.0139150526806186 0.00247579459621595 0.00293347942309469
