"V1" "V2" "V3" "V4"
"result.1" 0 0.0190733345474764 0 0.00499234121208806
"result.2" 0.0206666666666667 0.0355172259371961 0.0121511247071961 0.00873998897907888
"result.3" 0.00166666666666667 0.0490250094918516 0.00166666666666667 0.00882196226713234
"result.4" 0.000625 0.107748764041132 0.000625 0.0154383430899167
"result.5" 0.00461111111111111 0.126462202840305 0.00289058807837311 0.0172767446511499
"result.6" 0.00188095238095238 0.193694117043094 0.00108677481683561 0.0208571288293606
"result.7" 0.00458323456929473 0.0466480287436011 0.00338627777314361 0.0103122309827387
"result.8" 0.00497292801760887 0.0624955440383094 0.00267333307029269 0.0110305282355966
"result.9" 0.00382925867869354 0.0788347921012326 0.00189764360249082 0.0123204697755604
"result.10" 0.0014687134502924 0.107039588178596 0.000667914475889702 0.0145280868327541
"result.11" 0.0150915613751354 0.151194972576938 0.0100956536693367 0.0180105828561695
"result.12" 0.00786891925017146 0.217401362421093 0.00199246668364464 0.0203933631554635
"result.13" 0.0278961357270181 0.334725174308188 0.00678384233623713 0.0181442497110601
"result.14" 0.0360938450805804 0.480333094014061 0.00533888229967607 0.0171177256738459
"result.15" 0.0240048413361814 0.554005704018059 0.00456152843056727 0.0168712134330539
"result.16" 0.0374322684199485 0.632072035858229 0.00469152562232208 0.0158296067953214
"result.17" 0.0362488650277335 0.691790897311253 0.00512607851624488 0.013420495785707
"result.18" 0.0298339218582926 0.736168918518019 0.00443325963624052 0.0132620194557205
"result.19" 0.0273235073005422 0.467724521205369 0.0027047016723988 0.0141132534812508
"result.20" 0.0460950874286298 0.562611676184952 0.00568919225094475 0.0119694492551583
"result.21" 0.0394920620741772 0.638812764078541 0.00378355369479149 0.0100429478731927
"result.22" 0.0498676004959254 0.665238291942348 0.0041690470060477 0.00953186776447881
"result.23" 0.0512553863202215 0.731976109921632 0.00540233496954443 0.00824771615209253
"result.24" 0.0603611753772102 0.741227113480397 0.00524158753611482 0.00843811893491243
