"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.0615212546287896 0.0694035877066429 0.889143000198644 0.85548811705631 0.00577037221903509 0.00547446536938671 0.00725561862587699 0.00841932812196224
"result.2" 0.0601586665093433 0.0781284450797729 0.976793698088208 0.961398325524338 0.00459649773652275 0.00467442744601675 0.00309670561097676 0.00432696613818524
"result.3" 0.0611694027769785 0.0788712852593231 0.994038194452456 0.989154978356652 0.00458583617254269 0.00492128094348445 0.00145779611544817 0.00203678014504204
"result.4" 0.0560280346606826 0.0862458859872992 0.999153439153439 0.996458994708995 0.00522537731584106 0.00580284298947232 0.000600307100022038 0.00123727893403186
"result.5" 0.0587170875896193 0.107107494268451 1 1 0.00510151847585398 0.0064679006268935 0 0
"result.6" 0.0666426490492744 0.141415122407367 1 1 0.00506852136693613 0.00783125373815661 0 0
"result.7" 0.0489259098829722 0.144088890279907 0.945776714127511 0.835495892285816 0.00217089728551916 0.00333881020371668 0.00304727106036632 0.00445427948559726
"result.8" 0.0547383444574517 0.178879753649823 0.988256124764585 0.936051392260437 0.00241364144209495 0.00358395068448238 0.00122176534991526 0.00303592179440877
"result.9" 0.0519015174294943 0.211604563397756 0.996733806635274 0.977913066592231 0.0021459631258929 0.00402409936398725 0.000665967394167944 0.00179686452203382
"result.10" 0.0626141981693774 0.264438258187782 0.999694370391618 0.991454699747449 0.00266447248236918 0.00378876817903644 0.000174821489698742 0.00108253948052756
"result.11" 0.0652386513440321 0.309546023115405 1 0.996555987864555 0.00231813810202245 0.00443599489537698 0 0.000607379250786013
"result.12" 0.0668563017820195 0.344209670922286 1 0.998528386066411 0.0026175863479606 0.00434659860052096 0 0.000399822081145327
"result.13" 0.0620556726361151 0.0548826640902545 0.556045371681183 0.536017468312025 0.00688853155972193 0.00640776663689802 0.0134558949145531 0.0127647162003089
"result.14" 0.0516518824300735 0.054446299808778 0.857318376327697 0.839219614556568 0.0047047567514466 0.00474834980406992 0.0078182862016976 0.008198062740247
"result.15" 0.0506033439406365 0.0589227740022672 0.983365388039057 0.97923344722839 0.00435964448953131 0.00440142938263225 0.0027341959042228 0.00271179962941389
"result.16" 0.0564312120001214 0.07250112962357 1 1 0.00454704632826225 0.00462938749485594 0 0
"result.17" 0.0524374429108541 0.0780667780725096 1 1 0.00442064063135642 0.00512170784063592 0 0
"result.18" 0.0563829454156162 0.089959754433784 1 1 0.00451466934451268 0.00565611447727643 0 0
"result.19" 0.036131089867689 0.0577746763362917 0.670431355661669 0.605952273057071 0.00231953870699949 0.00268534690965278 0.0060296647630812 0.00578276345752094
"result.20" 0.0459376477639503 0.102242816467423 0.900737300336273 0.829742179075884 0.00236828517304243 0.00261642614460849 0.00335637843032135 0.00357124033461046
"result.21" 0.0462022256251082 0.148012901636952 0.988323674461432 0.9473695719683 0.00241662748809681 0.00315217130288477 0.00107155217844399 0.0023702796975759
"result.22" 0.0538061110145787 0.200794613191841 0.999671098661196 0.990211892787469 0.00245083447599655 0.00343876092435862 0.000188092769978368 0.000973443421724088
"result.23" 0.0527538428675338 0.252947425981502 1 0.998784417396787 0.00208477916091121 0.00397052984987981 0 0.000366666661950066
"result.24" 0.0586818931705248 0.312078571639444 1 0.9999 0.00249852031105651 0.00457252333509609 0 1e-04
