"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"result.1" 0.0190238095238095 0.0362497502497503 0.277784482674189 0 0.610227702852703 0.667887340904165 NA 0.79232563628262 0.0743031135531136 0.0819249639249639 0.124323496544458 0.163949279291649 0.176737011652954 0 0.0832230338276666 0.45573551123696 NA 0.469313569166709 0.0950664640300355 0.0861569030494486 0.00759306984906316 0.0121696573767298 0.0310980533093346 0 0.0282976334537585 0.0118423285587817 NA 0.00831218419031705 0.0181752090139854 0.0207782598310021 0.0132114658019909 0.014367977031102 0.0133471238064831 0 0.00749752707028473 0.0178709905735691 NA 0.0165469702699476 0.0115145459243995 0.0108175872717797
"result.2" 0.036573685086843 0.0641836348292231 0.210469982144608 0 0.521528954705425 0.633976618134696 NA 0.787007247538021 0.0750080849383175 0.0633595999766076 0.225243529088929 0.263354854857708 0.285370370815305 0 0.156379397170551 0.534810045853035 NA 0.56076492694798 0.139979812348181 0.134738007405341 0.00841480416780452 0.0124253081132531 0.0214377080132938 0 0.0258794426973551 0.0117658025437989 NA 0.0086750083847744 0.0187223687874645 0.01620886888209 0.0155382612149998 0.0145943270376362 0.0133188051660226 0 0.0119854043595388 0.0153713305321367 NA 0.0149531129276207 0.0134358910523426 0.013884301080717
"result.3" 0.03060834998335 0.055205855376134 0.191985122942671 0 0.491558639889522 0.632445945743066 NA 0.777483099926801 0.108639809995073 0.114893248564301 0.246196873904362 0.329431180277601 0.361097642434749 0 0.193925751026713 0.555114104076859 NA 0.57675694684082 0.180086710455651 0.17140012968393 0.00766105370510702 0.00934095917168425 0.0203726423316205 0 0.0222798234844882 0.00958585794615387 NA 0.00753668322341119 0.0202499086864136 0.0206328094665834 0.0174560070733122 0.0167008781848988 0.015004371398078 0 0.015108102550286 0.0135293268076035 NA 0.0151792325192915 0.0173093084784504 0.0174879878705485
"result.4" 0.0388516725792268 0.0567933291469602 0.158351266285551 0 0.46295552381684 0.623618016623723 NA 0.778144895474362 0.0737776518213291 0.0729563715270237 0.329995467868395 0.386041193800748 0.413547244507013 0 0.248551370471122 0.617915125244821 NA 0.628974214218785 0.217720461516008 0.214165850419291 0.00922563484619864 0.00809501350481627 0.0152475744334447 0 0.0220937216707054 0.00995060251151377 NA 0.00849638882157211 0.0168582177379987 0.0150966282634695 0.0193361432313054 0.0168896989363806 0.015562738509819 0 0.016768012300205 0.0135817124936559 NA 0.0158222842355325 0.0172492313172981 0.0173624939089295
"result.5" 0.0391788036095312 0.0570197131300072 0.178065360398716 0 0.373906401905628 0.605622909418027 NA 0.758453742432924 0.090688088459516 0.0824454626610956 0.358402861163275 0.424996709882611 0.4695618171459 0 0.305352064347732 0.631290965932242 NA 0.628387007355823 0.246989067629995 0.230997779446293 0.0076678222607182 0.00761315252395574 0.0164127059563706 0 0.019391742687135 0.0102965389995897 NA 0.0101805478513918 0.0158282862522204 0.0154566045745287 0.020171940292229 0.0173831413754228 0.0162051722059767 0 0.0179313577616701 0.014276194165165 NA 0.0156985424921036 0.0176267066121704 0.0171524766597818
"result.6" 0.0374848088787717 0.0738083099335118 0.16665689724065 0 0.352340360598746 0.59825223503815 NA 0.74949959465452 0.0635811786252963 0.061729051667287 0.461687321718551 0.51884239075308 0.548528066998711 0.000357142857142857 0.383243614476852 0.685831423480729 NA 0.694769870540901 0.299054134337197 0.284057419733288 0.00601847499742905 0.00906220365343952 0.0165829717684332 0 0.0172149411273673 0.00960623560450988 NA 0.010748405686315 0.0101645766698252 0.0113233456201491 0.0165888337072774 0.0164964398419789 0.0138510454247151 0.000357142857142857 0.0191246201439744 0.0124146674903315 NA 0.0129015228721997 0.0176393801297307 0.0179370449346692
"result.7" 0.0242719878512943 0.0447166246554766 0.125003719098688 0 0.416601945228167 0.42004929913832 NA 0.627290821499921 0.0708901137753529 0.0669048260687552 0.214953886814794 0.250582085731193 0.275376507243162 0 0.0714247809585942 0.477861431833106 NA 0.414352342435938 0.126920569562331 0.126716204944056 0.00449155173896908 0.00616857399637521 0.0111828916103315 0 0.0249317606179819 0.0107887119388934 NA 0.0069987677684941 0.0137551145682389 0.0136413609252021 0.0132649965468953 0.0125390799940716 0.0107809636745622 0 0.00611255533073045 0.0120072367688096 NA 0.0113338124495664 0.0127121160692839 0.012774213083626
"result.8" 0.0380247954104698 0.0494370248863038 0.110013624986086 0 0.407796805595225 0.421146834857138 NA 0.601939555074156 0.0816940003808533 0.0752718220324289 0.290268797613266 0.32218647517428 0.371128948457758 0.000101010101010101 0.0976095957007386 0.522592714620384 NA 0.454328767100497 0.157921949102958 0.158667050877208 0.0052715972015857 0.00469110843446195 0.00912674481891835 0 0.0225211307028788 0.00964711295787645 NA 0.00848674484382198 0.0147072576090973 0.0118233876224804 0.0159741773826015 0.0133844265381903 0.0111597066585548 0.000101010101010101 0.00964537958924092 0.0109624780974655 NA 0.0116571731125987 0.0129763813060177 0.0134996287180127
"result.9" 0.033363410557394 0.0500851268885835 0.102803867306278 0 0.37015069992669 0.432995953292311 NA 0.61202137571299 0.111061869067864 0.108606829521029 0.335921027119148 0.388092513768561 0.428572688216493 0 0.125301928864633 0.542678738602694 NA 0.507369689462353 0.21287282288314 0.208940032969635 0.00450531281424422 0.00540501406487218 0.0083582156452607 0 0.0224028895819679 0.0108962489297227 NA 0.00732539278146495 0.0172384739437416 0.0170813922091779 0.0158166299157376 0.0125906076146349 0.00998114139396605 0 0.00990570607680705 0.0119498798917488 NA 0.0115641711712163 0.0143255534708467 0.0143162462755803
"result.10" 0.0397800279414578 0.0546215086231607 0.117684612061394 0 0.338820694414208 0.435296105546697 NA 0.6089720495434 0.141617787436369 0.150984624869867 0.36145869710756 0.411778136684118 0.455758832293396 0 0.139362336589893 0.569539156985691 NA 0.525003507717519 0.21497860472195 0.213769292375535 0.0051943090924947 0.005131285383353 0.00941527062416026 0 0.0199667814060611 0.0106652457230162 NA 0.00740542397710956 0.018564170752242 0.0199680522496403 0.0176157607364458 0.014490208215737 0.0120335904409052 0 0.0102055991018434 0.0110652714962085 NA 0.00977494346570445 0.0157637778182223 0.015696778326935
"result.11" 0.0372865404105842 0.0477327831545509 0.0937252926548514 0 0.265500729644196 0.443474882370865 NA 0.608595151682555 0.106044589231344 0.102491456915181 0.419410150248099 0.482448188291895 0.523761390724665 0 0.203688988178428 0.602846363528268 NA 0.552825820335721 0.258060759609194 0.249232487838214 0.00671475180589331 0.00456526708386131 0.00812643609315884 0 0.015647344893108 0.0111574168331358 NA 0.00872426522530575 0.0124206770846314 0.0124717757804933 0.0160407217041684 0.0138047634421171 0.0122020260215273 0 0.0141172542870273 0.0113035335787421 NA 0.0136593921469324 0.0150890486046315 0.0147460670545087
"result.12" 0.0393299802063432 0.0479625004738264 0.0994063100433967 0 0.300791489541447 0.453485785708633 NA 0.593437194741711 0.123699746388028 0.117559093306014 0.496066949669539 0.537331692852613 0.581221555469742 0 0.23279702140551 0.633465359607062 NA 0.564585833875128 0.298400688038181 0.293889963036385 0.00402429939267467 0.00409004025486543 0.0080818920054237 0 0.0179760443352924 0.0108938073255724 NA 0.0122055801180175 0.0137139544380365 0.0133831597433867 0.0156902734094856 0.0133411867219661 0.0112717513902332 0 0.0140948845394303 0.0116740355942401 NA 0.0131840853663749 0.0163019390063181 0.0167491343112781
"result.13" 0.0429136973707407 0.0343202183523391 0.0339379056186332 0 0.588049805837832 0.752449236814772 NA 0.775368299551843 0.617825805978658 0.610019086760158 0.479297811426411 0.450561994882282 0.454966792563046 0 0.332212456195565 0.715505876765447 NA 0.689662964917291 0.451564737317812 0.444968798487321 0.00691448872087764 0.00556528453207917 0.00571546085143463 0 0.0128185334119153 0.00559178913020744 NA 0.00567864200384968 0.0193674370032396 0.0199032203790085 0.0122233360752842 0.0128225754583077 0.0120592358400816 0 0.013890378956724 0.00947241281089448 NA 0.0101029411568343 0.0118491099068643 0.0120561250052059
"result.14" 0.0428325188170389 0.0307803498254636 0.0316428171530339 0 0.504668783910169 0.751265890486228 NA 0.784551971891482 0.572039952397116 0.564776370064207 0.596274125677827 0.578396783685248 0.581906344137413 0 0.50309027120167 0.761657171051421 NA 0.732354281486631 0.523490688646316 0.519338989182831 0.00541779478647106 0.00456086468489508 0.00443201090034769 0 0.00967767110457706 0.00534089910041952 NA 0.00492657159749075 0.0216927302236153 0.0220203375029919 0.0104381426339163 0.0120687615011332 0.0111541735276327 0 0.016152527851437 0.00875798756672891 NA 0.00944876126215916 0.0126113494801819 0.0131996594390621
"result.15" 0.0404594801126122 0.0315486650704791 0.0329729026704974 0 0.473995426586037 0.746084554225389 NA 0.775858611875144 0.540609073251642 0.539838879189362 0.657428639878271 0.630388111867076 0.632933469640354 0 0.594382608255558 0.775233290665642 NA 0.750291600882248 0.585592486239744 0.583691113753762 0.00498560861776937 0.00429850770924317 0.00453052298510657 0 0.00993606353368113 0.00532075106122037 NA 0.00443012019106923 0.0237413192039472 0.0234453647880942 0.0131798334281491 0.0123134495078399 0.0122168352763388 0 0.0150977528917786 0.00978783377111184 NA 0.0100004376024269 0.0131331482742557 0.0136987159943453
"result.16" 0.0537439304907536 0.0365660607545787 0.0366368524100994 0 0.427152909922637 0.726029783035339 NA 0.763609468253526 0.518442155708207 0.522902953639586 0.72610904766124 0.70809435301479 0.711196861118303 0 0.696660770429556 0.832329690203734 NA 0.804595065810118 0.643223793966949 0.637663144922843 0.00474430282709826 0.00490150828161314 0.00488483526628474 0 0.00914158806192218 0.00536358820498202 NA 0.00512248744547488 0.0238275914057626 0.0233315269272395 0.00957576444710315 0.00933319081574359 0.00887453702343437 0 0.0111514054514488 0.00799790307432177 NA 0.00732153696067632 0.0108899513548675 0.0112101006205478
