"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"result.1" 0.0681619978232981 0.442829172359651 0.0681619978232981 0.470677781647226 0.863506514290007 0.470677781647226 0.00747585625634477 0.0147241611946871 0.00747585625634477 0.0135251196474747 0.00796216542172121 0.0135251196474747
"result.2" 0.0727623213888458 0.4109807920909 0.0727623213888458 0.52428501158453 0.882425484360987 0.52428501158453 0.00657636096659311 0.0145749472874654 0.00657636096659311 0.0139777167808995 0.00823621041881638 0.0139777167808995
"result.3" 0.0699023335039308 0.400921311979865 0.0699023335039308 0.590442989931746 0.901227344205871 0.590442989931746 0.00734671451377714 0.0148083388752914 0.00734671451377714 0.0124488400827391 0.00673889962692953 0.0124488400827391
"result.4" 0.0663694334192823 0.404917879236291 0.0663694334192823 0.619645601637252 0.912190293329372 0.619645601637252 0.00695043464480436 0.0130267486969484 0.00695043464480436 0.0127771425179361 0.00683917608546302 0.0127771425179361
"result.5" 0.057422912960593 0.421172495738756 0.057422912960593 0.635437569867335 0.926285503153981 0.635437569867335 0.0064843882930749 0.0138526943001276 0.0064843882930749 0.0130821942440425 0.00602304141561925 0.0130821942440425
"result.6" 0.0769549341657331 0.38289734674633 0.0769549341657331 0.683800120472412 0.945095323436083 0.683800120472412 0.00663847235007548 0.0157104416225251 0.00663847235007548 0.01205264596795 0.00537383301943807 0.01205264596795
"result.7" 0.0515916446566526 0.206943411623103 0.0515916446566526 0.57285232384851 0.889440783481538 0.57285232384851 0.00362794203104964 0.00737956382448236 0.00362794203104964 0.00763908489788991 0.00386116386053925 0.00763908489788991
"result.8" 0.0533710760928544 0.179120855535675 0.0533710760928544 0.639061691515041 0.910884823443738 0.639061691515041 0.00333559052303967 0.00659419636327596 0.00333559052303967 0.00735808817156212 0.00400717299665726 0.00735808817156212
"result.9" 0.0545782729444084 0.170131967799128 0.0545782729444084 0.660109678618084 0.925149569099626 0.660109678618084 0.00354574665217001 0.0066290017790865 0.00354574665217001 0.00745028548866128 0.00363928652469119 0.00745028548866128
"result.10" 0.0505501345658009 0.173574250136838 0.0505501345658009 0.687141518989584 0.936714322359409 0.687141518989584 0.00304159450343083 0.00640179577327725 0.00304159450343083 0.00650548519590689 0.00313491081122632 0.00650548519590689
"result.11" 0.0522611026593631 0.158644404237882 0.0522611026593631 0.716822910846182 0.94328304847283 0.716822910846182 0.00294874406048193 0.00634975408644167 0.00294874406048193 0.00564845862352116 0.0027551561676134 0.00564845862352116
"result.12" 0.0525270300192555 0.161433184072925 0.0525270300192555 0.725061143492602 0.946027967548062 0.725061143492602 0.0034869877571103 0.00706921710294138 0.0034869877571103 0.00557570159744745 0.00270843613603682 0.00557570159744745
"result.13" 0.0743199352934212 0.817106252727207 0.0743199352934212 0.715997053131203 0.961816231729299 0.715997053131203 0.00701499208677785 0.00355923153552949 0.00701499208677785 0.00900394345479249 0.00387984785319304 0.00900394345479249
"result.14" 0.0943939503288996 0.821098761101956 0.0943939503288996 0.753406910646481 0.973492556153295 0.753406910646481 0.00723812613227961 0.00353746642466994 0.00723812613227961 0.00913561285060278 0.0035741128478328 0.00913561285060278
"result.15" 0.093523529328363 0.81128216724455 0.093523529328363 0.778479395207655 0.986521372966943 0.778479395207655 0.00699775576086339 0.00357746471777153 0.00699775576086339 0.00926035339900782 0.00289921267089524 0.00926035339900782
"result.16" 0.0857512180399956 0.813930072581637 0.0857512180399956 0.813803004832572 0.988521804529333 0.813803004832572 0.00571407161755069 0.00354713352077614 0.00571407161755069 0.0069242838074506 0.00233781118572127 0.0069242838074506
"result.17" 0.0978235418981816 0.803378263293214 0.0978235418981816 0.827702111731302 0.990991108962593 0.827702111731302 0.00704522991537158 0.00396272675860417 0.00704522991537158 0.00814883310275225 0.00173674909595395 0.00814883310275225
"result.18" 0.0913549622311965 0.811267354798283 0.0913549622311965 0.849020655831792 0.994690936755802 0.849020655831792 0.00650288058559742 0.00394972207354329 0.00650288058559742 0.00751721097359147 0.00141405678263282 0.00751721097359147
"result.19" 0.0596517755759671 0.507057861184299 0.0596517755759671 0.739260640674158 0.964152942244449 0.739260640674158 0.00277486632831669 0.00390468808916349 0.00277486632831669 0.00472303733171018 0.00189159446593116 0.00472303733171018
"result.20" 0.060489212337584 0.498819172540211 0.060489212337584 0.783146185766018 0.976008872482509 0.783146185766018 0.00274682074867322 0.00406213480405695 0.00274682074867322 0.00441447570482852 0.00169295996817723 0.00441447570482852
"result.21" 0.06024598657435 0.498567402072374 0.06024598657435 0.821411353122332 0.985868066141479 0.821411353122332 0.00266273639900003 0.0039066199173382 0.00266273639900003 0.00362917767625761 0.00109517782234371 0.00362917767625761
"result.22" 0.0576954207213447 0.479324158584747 0.0576954207213447 0.823710158422219 0.988437222074194 0.823710158422219 0.00275741754127417 0.00404185320091486 0.00275741754127417 0.00416195917494786 0.00112196552326676 0.00416195917494786
"result.23" 0.0618207880400868 0.481808424308673 0.0618207880400868 0.852853290755629 0.991809181197343 0.852853290755629 0.00284252898479023 0.0046706475976359 0.00284252898479023 0.00402438400195466 0.000892097195519361 0.00402438400195466
"result.24" 0.0640946358118275 0.475503767029006 0.0640946358118275 0.864923451720042 0.993843183867263 0.864923451720042 0.0030459851003104 0.00534951262879562 0.0030459851003104 0.00345480930712586 0.000695010510294991 0.00345480930712586
