"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.08715 0.0445666666666667 0.121957096222602 0.0507487434582103 0.00825088609107862 0.00626979623187498 0.00796563524508199 0.00566769015031966
"result.2" 0.0651166666666667 0.0519204545454545 0.171655145929339 0.0928059395801331 0.00706387493961323 0.00675019995871643 0.00954435335955761 0.00748503240118627
"result.3" 0.0692928571428571 0.0508333333333333 0.234739216885898 0.111224125624554 0.00707623826102813 0.00650473805565822 0.0104942288845459 0.0078826667086244
"result.4" 0.0733095238095238 0.0524416666666667 0.305800051203277 0.156891961085509 0.00676179293721806 0.00650974363921956 0.0115450149566668 0.00950458326409616
"result.5" 0.0688023809523809 0.0512166666666667 0.392070808800744 0.215853217642805 0.00637638184992578 0.00644410079422702 0.012426962271881 0.0109715791061264
"result.6" 0.079525 0.0641523809523809 0.411432079277383 0.215770849776375 0.00689744934855264 0.00710780636320267 0.0120856732769502 0.010648772152515
"result.7" 0.0666984126984127 0.0558021164021164 0.128412566926538 0.0506290725614255 0.00652097733514084 0.00672792141240292 0.00489055230401881 0.00348325059648577
"result.8" 0.0591691919191919 0.0703561783804431 0.193497957842811 0.0702632995272701 0.00541856670564487 0.00759904558361502 0.0060217019077605 0.004435044738567
"result.9" 0.0604447191697192 0.088582905982906 0.281844089871257 0.102954793654058 0.00482778888824996 0.0083152597535561 0.00663617839944551 0.00542989437906392
"result.10" 0.0551446359196359 0.10069538961039 0.339559242520465 0.127709795983171 0.00400506468080253 0.00860307208450026 0.00693625784841049 0.00592810093300414
"result.11" 0.0643972194472194 0.133852563226247 0.408140692352883 0.154154403233505 0.00464966950500255 0.00976558531969743 0.00726830749174114 0.00673372351269388
"result.12" 0.0611332375957376 0.138064880952381 0.476250660502208 0.196902893589039 0.00424674045087135 0.00974142138859382 0.00742472265367764 0.00745293174760213
"result.13" 0.0915119047619048 0.0480714285714286 0.0536131082629989 0.0250143273939773 0.00872595734187444 0.00658940055529607 0.00550839932821418 0.00393768505295428
"result.14" 0.0687 0.0462333333333333 0.12213586196176 0.063306388932069 0.00722697764439182 0.00621861319257982 0.00797329171101125 0.00602825899825087
"result.15" 0.0831047619047619 0.0499555555555556 0.258921523399457 0.139038392536778 0.00754673396016942 0.006246456096806 0.0108692410956307 0.00878413380771795
"result.16" 0.0706619047619048 0.0510238095238095 0.347569661052194 0.213447442295696 0.00668719826525125 0.00619293104369157 0.0116540702983477 0.0105940048015503
"result.17" 0.0775119047619048 0.0494952380952381 0.450487367436057 0.287379132875858 0.00685930960212374 0.00630244697997858 0.0122404318214442 0.0114339503765406
"result.18" 0.0699440476190476 0.0591666666666667 0.53079330308246 0.365382308454598 0.00617214709876737 0.00638409969777833 0.0120251652267061 0.0121348081649885
"result.19" 0.0739571428571429 0.0347833333333333 0.0672814681405626 0.0361186735564058 0.00721493817445485 0.00525078151674421 0.00354738639338868 0.00298006601913985
"result.20" 0.076710927960928 0.0520346459096459 0.150151991201952 0.0763745461238108 0.00680717337467222 0.00621199278752943 0.0051463598887924 0.00409879679265611
"result.21" 0.0702986152736153 0.0575146825396825 0.279187750003694 0.139021762323504 0.00534040743231457 0.0062694553867502 0.00646492100450024 0.00545759062882874
"result.22" 0.0616257076257076 0.0784664335664336 0.392022949844273 0.208435357534622 0.00455620432418835 0.007163377040573 0.00684040769327753 0.00685527885387822
"result.23" 0.0567835949997715 0.0855635970238911 0.50833300526713 0.287670831207983 0.00357716564706515 0.00704038009039599 0.00686231961046708 0.00772627304218163
"result.24" 0.0595118326118326 0.115949104233973 0.59251118625097 0.335676869325205 0.00354150917697865 0.00777738067625846 0.00626948494575956 0.0079434471221289
