"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.0196904761904762 0.0181025641025641 0.12681498914941 0.0790328481758292 0.00760545470398167 0.011240819620501 0.0132720459701874 0.0108044587402007
"result.2" 0.0299109866741446 0.019171568627451 0.216147402670166 0.121562658809803 0.0078568884869863 0.0081621974503984 0.0155196855532403 0.0133768436725314
"result.3" 0.0353464452214452 0.0351617880485528 0.233829232626991 0.171586158597526 0.00840675455185371 0.00939666102098492 0.0171655220988598 0.0166767940311636
"result.4" 0.0385050828944018 0.0175821661998133 0.310429389807093 0.225020234850467 0.00945527076146421 0.00586170711534858 0.0198297968792593 0.0196279401030187
"result.5" 0.0353050723786018 0.0287429000737824 0.355255858634269 0.247533377330439 0.00750500628144869 0.0077694340747303 0.0199692802881101 0.0202692884152981
"result.6" 0.0378627175198383 0.0394416450254551 0.458293597924132 0.327274805776026 0.00632465970875084 0.0091276150678367 0.0171823041456831 0.0201081918622067
"result.7" 0.0241351078784163 0.0117829137610561 0.203447954072615 0.10818666913973 0.00448713259154122 0.00330818801277577 0.0133700236115505 0.0140704377097449
"result.8" 0.036154708887745 0.0576185996008207 0.273193083723087 0.156259524868553 0.00517998786993105 0.0160216877808956 0.0155845947363238 0.0156255074642436
"result.9" 0.0319301702408675 0.0552048616816184 0.32366950000071 0.171497627433624 0.00451578812781651 0.0156920866017391 0.0168662979717913 0.0158096746133141
"result.10" 0.0363115759835655 0.0487226384684378 0.343044670107035 0.193459719927221 0.00498870770284248 0.00990683994797908 0.0174000964537302 0.0169179707585496
"result.11" 0.0379876783547087 0.0524868055286487 0.403637186309796 0.236929441133783 0.0065096213749871 0.011888759397623 0.0167269264970651 0.0176715444059687
"result.12" 0.0383260457469531 0.0731531577455317 0.482408815187571 0.315219561577093 0.00411118006214345 0.0135143324830745 0.0165547557134522 0.0201248833639545
"result.13" 0.040147030704074 0.0431693198442424 0.473650541837762 0.387325670865223 0.00675700609336617 0.0075950944284877 0.0125971484564407 0.0149873583228193
"result.14" 0.0460694901790103 0.0406778979276657 0.594695232007779 0.537729292164563 0.00576753511040543 0.0063724170501077 0.0107505625033427 0.0144367737289304
"result.15" 0.0388358712653192 0.0380892858412881 0.651927823875622 0.593816237716645 0.00490205645671044 0.00499744258507193 0.0131782828344953 0.0152686892957178
"result.16" 0.0538657350020318 0.0522233902559736 0.723499265052544 0.693766234263766 0.00475965531885424 0.00686399351630432 0.00972999774119135 0.0104376310748283
"result.17" 0.0400367403303875 0.0344352794546751 0.73467475940817 0.701495535287436 0.00534184279525589 0.00458662584628716 0.0120242684766071 0.0134220070288263
"result.18" 0.0504368149365901 0.0465868807739203 0.778072396793085 0.746670842899582 0.00563174434146497 0.00578793967142502 0.00907475148402838 0.0108775846456089
"result.19" 0.0376285652199044 0.0406020207245076 0.57909827052369 0.505378818108449 0.00251807637352337 0.00395470191301763 0.00777748749609443 0.0116340351510516
"result.20" 0.0338995042664152 0.0409054087461857 0.665037519285789 0.607436606520482 0.00263689108317963 0.00455307925080555 0.00690271557047851 0.00971540540675978
"result.21" 0.0398224994868625 0.0520037494652722 0.722922813766481 0.668647562598238 0.00226547124930622 0.00369097782594165 0.0064020728188903 0.00877565332747583
"result.22" 0.0382691142916088 0.0557357405496623 0.743219730994541 0.691995206856849 0.00260788260229446 0.00473776769724163 0.00581142395716366 0.00764660342847843
"result.23" 0.0437944836744292 0.0671488699603676 0.778501005722251 0.731120559863582 0.00351727886074706 0.00680702204510827 0.00490006959825762 0.00647715160912575
"result.24" 0.0432598737653927 0.0752991477538729 0.804250066717119 0.76003203192609 0.00247627864069394 0.00557159352904734 0.00491541562287788 0.00627563464369576
