"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
"result.1" 0.0865666666666667 0.0387833333333333 0.0541666666666667 0.006 0.490105555555556 0.562746267621268 0.0380026152337365 0.309753880749304 0.0345166666666667 0.0356111111111111 0.121866417949117 0.0752396497227836 0.0677522151406809 0.00489662676822633 0.160361935851599 0.138965749520701 0.0458858325939071 0.133110026619343 0.040820767915436 0.0354241152391316 0.00822370945346154 0.00582442646669079 0.00664677337231604 0.00244335219932984 0.014217021851498 0.014205026381838 0.00627022501952254 0.0144610700671038 0.00552373164930699 0.00564276971968276 0.00795629107328089 0.0063581464064172 0.00590777125659155 0.0016993629827002 0.00896307773475433 0.00845277082797767 0.00553387129434068 0.00894575075140255 0.0047826254790477 0.00439190091544718
"result.2" 0.0645833333333333 0.0253333333333333 0.04125 0.002 0.46672619047619 0.545361460761461 0.0291902071563089 0.266889815562132 0.0325454545454545 0.0338704545454545 0.172453917050691 0.131673067076293 0.0996846731524151 0.0105017921146953 0.239881805768903 0.166755419013484 0.0887245519401427 0.194690949867564 0.0805376344086021 0.0698899129544291 0.00703533858777246 0.0044475589687806 0.00572560992365763 0.00141350557055782 0.0135556669373205 0.0140805236913953 0.00536730078127007 0.0130696802876951 0.00542017046346287 0.00553214227254873 0.00955070486269447 0.00848957232594836 0.00741340794589383 0.00245283484531543 0.0107434206916599 0.00952147062483788 0.0076962502294764 0.0106011915429562 0.00701998435366099 0.00657726351268181
"result.3" 0.0692095238095238 0.0396666666666667 0.046 0.006 0.449834945609946 0.535906310519546 0.0310510164940545 0.291115723235976 0.0424702380952381 0.043 0.234649994901601 0.17781431630468 0.124369073111043 0.0191827266238401 0.295080044865912 0.211601407158152 0.122078720787208 0.244110583962982 0.0993499541144081 0.0849571734475375 0.00706574972957645 0.00567282634464641 0.00624216559360328 0.00244335219932984 0.0130575017375472 0.0135973259913114 0.00523384454499857 0.0130576247593943 0.00604049836698916 0.00605180063763045 0.0104792708670294 0.00921693301708938 0.00801276064433859 0.00320107632040038 0.010757087274307 0.00986369969575295 0.00843998092229958 0.0111499943336142 0.00737548228881437 0.00691674685372087
"result.4" 0.0747928571428571 0.0347 0.05275 0 0.455933802308802 0.554404725829726 0.0282721542454579 0.278042421674235 0.0484333333333333 0.0432666666666667 0.304276753712238 0.247831541218638 0.186099163679809 0.0430849974398361 0.351424304488821 0.274344598054275 0.173337022532493 0.324997162154492 0.145199692780338 0.124784946236559 0.00683460017516306 0.00479270185826464 0.00623270100675601 0 0.0126027116830371 0.0130335263985549 0.00450709709245263 0.0122990284080404 0.00618688045075498 0.00597204550801248 0.0115218270377501 0.01068559299324 0.00962246879284128 0.00517075570624674 0.0115618770464532 0.0110933671383535 0.00949284118105427 0.0118848790274142 0.00903424174729849 0.00868034888527084
"result.5" 0.0684690476190476 0.0320833333333333 0.05305 0.002 0.448306818181818 0.541092127317127 0.029389880952381 0.305435654375387 0.0347404761904762 0.0446952380952381 0.392341958475364 0.332865922941845 0.236900888337982 0.081050511310815 0.441640842888131 0.304848414419998 0.250910872823706 0.381501498904647 0.202120132217746 0.175511310814998 0.00637124996436503 0.00448118494580602 0.00629484271185462 0.00141350557055782 0.0121561095415 0.01291393989262 0.0045670039440816 0.0123359829635397 0.00524330333529545 0.00602500150518392 0.0124206302564302 0.0117896083692926 0.0106700928149369 0.0071290217291066 0.0123010599496254 0.0116200555087006 0.0113330770054961 0.0127323892504514 0.0105864313179403 0.0102124704183795
"result.6" 0.080225 0.0398619047619048 0.0602785714285714 0.01 0.463161586119195 0.554820786158286 0.0386883973612728 0.300814313096036 0.0500208333333333 0.0479878787878788 0.412500219240551 0.361397000789266 0.283752959747435 0.0973506971849513 0.477818556520214 0.342686573708673 0.258290834613415 0.40868407578085 0.219463299131807 0.178760852407261 0.00687405705305841 0.00503720585323721 0.00642092984546968 0.00298477954108991 0.0119032283333911 0.0124522463016094 0.00540619766805408 0.0124245455472034 0.00623211624302826 0.00623997257782478 0.0120856833289044 0.0117532102333518 0.0111852954298831 0.00762307896461111 0.0124606123632592 0.0116753568850969 0.0115987380221705 0.0132401405922533 0.0107662131531376 0.0102094313857313
"result.7" 0.066531746031746 0.033545670995671 0.0543702380952381 0.0045 0.41496661949162 0.49885147603944 0.0504587155963303 0.280917567715159 0.0448821428571429 0.043927380952381 0.12763781945179 0.0807767888157594 0.0610221290963938 0.00295248917748918 0.152079762312851 0.138134308583573 0.0372878350886986 0.123902930152087 0.040001353058706 0.0393896984551396 0.00650774412339647 0.00466951206562223 0.00631409666842562 0.00205766469182517 0.0119488258880419 0.0119258742576767 0.00658623483638577 0.0117629261685012 0.00610496175020944 0.00600539015951955 0.0048469143947472 0.00383186522251835 0.00333861822746278 0.000600788858867153 0.00534926245989253 0.0051764469327171 0.00251283472869125 0.00495498381443282 0.00298243466852422 0.0030199820410176
"result.8" 0.0612997474747475 0.034540873015873 0.0547555555555556 0.006 0.39734411976912 0.513893274359799 0.0565944507791714 0.306740158247637 0.0587746753246753 0.0560468529836177 0.191912113131966 0.133404123980595 0.0965176923566629 0.00600688061938062 0.199813752424047 0.164372445201857 0.0614578813879572 0.16627655830654 0.0546382196235137 0.0516563402283991 0.00553676060469547 0.00455953990670869 0.00624367167847743 0.00244335219932984 0.0110911294094818 0.011353837977691 0.00680040948315757 0.0111347917798894 0.0069818096427458 0.00680434880500349 0.00599941590457427 0.00488996637472034 0.00421636066802471 0.00108061432627285 0.00593533285241462 0.00540287277861428 0.00342758869110785 0.00538173159064262 0.00387282683637577 0.00383863468169334
"result.9" 0.0603296758796759 0.0375075396825397 0.063665873015873 0.00508333333333333 0.379388079752205 0.505205138652198 0.0624777544086717 0.322922269959443 0.0731549755799756 0.0654222222222222 0.282219177283844 0.211405023566904 0.150149499863741 0.0106604881229881 0.257178265319132 0.213935207662994 0.0939491038610018 0.229477152683293 0.0839347807421337 0.0807649279641927 0.00481324216082583 0.00401701683133884 0.00592780880988271 0.00209813560246703 0.0098008175225137 0.0104676236700934 0.00631132150888389 0.0100888623055695 0.00749914212821123 0.00731194036418343 0.00662749892690537 0.00590675189819003 0.00514835314668599 0.0014198428002479 0.0061751802585751 0.0059781423219653 0.00406105400270976 0.00612062226289547 0.00459072851906239 0.00480211707365241
"result.10" 0.0558664613164613 0.0397151265401265 0.0545032828282828 0.006 0.387568689548251 0.518046324745086 0.0785899883338636 0.323066105192795 0.089423088023088 0.0844275252525253 0.33970924668297 0.26522146352959 0.197822196912135 0.0180114649239649 0.300823933144599 0.245764241013544 0.130823726915187 0.265945655020103 0.106917220198103 0.101471628698099 0.00403363923803011 0.00384248758767819 0.00538915012812184 0.00219137752767572 0.00935019513172352 0.00989353441448894 0.006919416265386 0.00966896342042194 0.00800996267077822 0.0080917476483309 0.00693626811652998 0.00641113327013968 0.00590735219130498 0.00183103152053309 0.00679182820226609 0.00648532214554493 0.00484933003857097 0.00648883602317048 0.00535034724278813 0.00540292439649659
"result.11" 0.0645032800532801 0.0424631424131424 0.0537920995670996 0.00648333333333333 0.410670058373 0.522194597896657 0.0910335851512322 0.333675454518117 0.105293427977252 0.110988779379375 0.407870576357767 0.328003047464232 0.246057673380971 0.0332469830006595 0.344452193257379 0.277232607571307 0.169330952800293 0.307324154068961 0.138298354320258 0.12420968351394 0.00464061915159241 0.00400105136809441 0.00491348561184556 0.00208682083804504 0.00914712802247934 0.00968003387520608 0.00710057527524981 0.00894883296876595 0.00863806012248988 0.00914115658913608 0.00728854861380974 0.00692365584244129 0.00634998147407538 0.00250389661127505 0.00706579452550296 0.00678647059518124 0.00537786043574014 0.00653324155455434 0.00599572642369367 0.00608275589573695
"result.12" 0.0613804598179598 0.0411360472860473 0.059654748029748 0.0137357142857143 0.386113396567948 0.512532227022204 0.083616803685611 0.326178332262616 0.126391183816184 0.114368842268842 0.475772577474125 0.391635853959422 0.302038567731718 0.049897586563763 0.389105121375013 0.325483458857104 0.217615559385307 0.360649215349541 0.181237319032017 0.160533770538028 0.00425499471711115 0.00363870531506151 0.00518109671741672 0.00342482327175979 0.00874466684311666 0.00894971660414757 0.00596933496651502 0.00848459169657278 0.00926288465371247 0.00930483277362812 0.00741082958079891 0.0073359037874834 0.00686668899241745 0.00322812004446684 0.0071940315871088 0.00694875074999908 0.00591071626725811 0.00667349095028702 0.00687890105038954 0.00689085418935303
