"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"result.1" 0.0681619978232981 0.577749344331689 0.470677781647226 0.720709643955723 0.00747585625634477 0.0187139323189827 0.0135251196474747 0.0130944710797364
"result.2" 0.0727623213888458 0.536457533536611 0.52428501158453 0.74665401366062 0.00657636096659311 0.0207734877247544 0.0139777167808995 0.0134018348907086
"result.3" 0.0699023335039308 0.523415655588682 0.590442989931746 0.770278210266066 0.00734671451377714 0.0192845690562852 0.0124488400827391 0.0127331285919055
"result.4" 0.0663694334192823 0.46340264730085 0.619645601637252 0.784359840234069 0.00695043464480436 0.0203801010870011 0.0127771425179361 0.0125714673087959
"result.5" 0.057422912960593 0.494148291325675 0.635437569867335 0.802144562882751 0.0064843882930749 0.0200544891034577 0.0130821942440425 0.0117250897012169
"result.6" 0.0769549341657331 0.509090848479189 0.683800120472412 0.831104762883243 0.00663847235007548 0.0212333798341989 0.01205264596795 0.0111637715552952
"result.7" 0.0515916446566526 0.250307925963436 0.57285232384851 0.71640685002593 0.00362794203104964 0.0120687672430933 0.00763908489788991 0.00946585422473992
"result.8" 0.0533710760928544 0.22579695090952 0.639061691515041 0.748446256921625 0.00333559052303967 0.0114982737503022 0.00735808817156212 0.00985471077393969
"result.9" 0.0545782729444084 0.203079872481643 0.660109678618084 0.758727729975842 0.00354574665217001 0.0125920810736973 0.00745028548866128 0.010484992924464
"result.10" 0.0505501345658009 0.18892608891971 0.687141518989584 0.782131608228793 0.00304159450343083 0.00921529554099484 0.00650548519590689 0.0082194554763108
"result.11" 0.0522611026593631 0.165056697905682 0.716822910846182 0.792418571110666 0.00294874406048193 0.00912823355366943 0.00564845862352116 0.00775927898302973
"result.12" 0.0525270300192555 0.149628505572483 0.725061143492602 0.794580730287902 0.0034869877571103 0.00735759522039618 0.00557570159744745 0.00706735086682707
"result.13" 0.0743199352934212 0.920775779575655 0.715997053131203 0.89665785450082 0.00701499208677785 0.00406872198198478 0.00900394345479249 0.00665487097102979
"result.14" 0.0943939503288996 0.923973216098624 0.753406910646481 0.902104297331737 0.00723812613227961 0.00264826697195286 0.00913561285060278 0.00745820057894783
"result.15" 0.093523529328363 0.918214258686457 0.778479395207655 0.925236891220238 0.00699775576086339 0.00231525406532398 0.00926035339900782 0.00569256107531999
"result.16" 0.0857512180399956 0.914762072070791 0.813803004832572 0.933703731082924 0.00571407161755069 0.00353574350780684 0.0069242838074506 0.00536905660191351
"result.17" 0.0978235418981816 0.905511358270506 0.827702111731302 0.947285535616001 0.00704522991537158 0.0037290682206858 0.00814883310275225 0.0046342166924972
"result.18" 0.0913549622311965 0.908520016922137 0.849020655831792 0.954376168281036 0.00650288058559742 0.00352210340140617 0.00751721097359147 0.0044069991868084
"result.19" 0.0596517755759671 0.715566149636093 0.739260640674158 0.880088268282532 0.00277486632831669 0.00502639691276672 0.00472303733171018 0.0039481510893517
"result.20" 0.060489212337584 0.688213861773014 0.783146185766018 0.897546127373862 0.00274682074867322 0.00694438661664778 0.00441447570482852 0.00382229049025221
"result.21" 0.06024598657435 0.695642857285034 0.821411353122332 0.922593031117648 0.00266273639900003 0.00548052983546382 0.00362917767625761 0.00324794885929071
"result.22" 0.0576954207213447 0.643228690161872 0.823710158422219 0.918787386880729 0.00275741754127417 0.00882223807484784 0.00416195917494786 0.00368505792415426
"result.23" 0.0618207880400868 0.635724767514633 0.852853290755629 0.926824575822962 0.00284252898479023 0.00872326745499429 0.00402438400195466 0.0037312621959499
"result.24" 0.0640946358118275 0.622272475299413 0.864923451720042 0.941168248910809 0.0030459851003104 0.0100730554046804 0.00345480930712586 0.00350264030716206
