"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"result.1" 0.0201862715887484 0.0262529534449039 0.0165147660646887 0.362811598580061 0.368203389266934 0.31768598752982 0.00441307721832748 0.00657099050696306 0.00408427522259828 0.0168931316367533 0.01754584194447 0.0179807607671747
"result.2" 0.0296569840678906 0.0298792617901684 0.0200291456909104 0.457197602893214 0.465359140630838 0.41706121161009 0.00485448423107745 0.00482255195221137 0.00500201669825811 0.0177404508124491 0.0168633609637578 0.0184939799303346
"result.3" 0.0378768131386519 0.0385577655196043 0.0335453132541555 0.548849014969396 0.555118244076647 0.504019368895736 0.00561500527381886 0.00577947237610572 0.00578028744221924 0.0166559547502566 0.0166716871480015 0.0189103830463097
"result.4" 0.0368491243923065 0.0357587521828167 0.0284436002507984 0.576454225521142 0.584494465024238 0.540718991052413 0.00604547208891935 0.00584271587257849 0.00560724123720453 0.0155968978528532 0.0157559593735713 0.0159269671072983
"result.5" 0.0352988179525405 0.0407994727112515 0.0241230744753004 0.63997866961407 0.642720065235261 0.617105991758432 0.0046625848203364 0.00503754180601551 0.00458212827877774 0.0153600047165964 0.0154632796387284 0.0168602925603405
"result.6" 0.037295668571361 0.0381361216959574 0.0339517874321179 0.683085308277237 0.683891035308826 0.655736158730037 0.00516894843164678 0.0051814105328068 0.00506524713517336 0.0135279657809741 0.0136400985005013 0.0156130627816962
"result.7" 0.0341326452403085 0.0343360653200352 0.0224287077976562 0.479154904148937 0.482425325450168 0.435248435711105 0.00316836153907818 0.00318812949636114 0.00251305243083859 0.0120356334743074 0.0118256495898392 0.0147233634273026
"result.8" 0.0289820917932497 0.0302589764465362 0.0221944443195758 0.562606600217836 0.566981183082977 0.513465721160202 0.00242068644992507 0.0023882611639772 0.00225764206814841 0.0111483767743924 0.0113209766514088 0.0131655164982966
"result.9" 0.0342795269660614 0.0355196066999438 0.0328486391558014 0.596024602817292 0.603105601209614 0.557636994782754 0.00322416750308755 0.00332348331409947 0.00310297494572916 0.0117889707318442 0.0122297395474205 0.0136205706285519
"result.10" 0.0356251849302056 0.037474378136936 0.0320295472917776 0.652516749864072 0.654851610253933 0.619962078752884 0.00294995459589145 0.00301953278341173 0.00291470930113763 0.00977245979691504 0.00998530894395819 0.0105421770825285
"result.11" 0.0343965202791861 0.0341255204357261 0.0328517292415973 0.676243762517497 0.68274389490553 0.649097522855541 0.00222098312802573 0.0022305610632122 0.00258989333392523 0.0100974477069457 0.0100357554860948 0.0110873377851331
"result.12" 0.0355334616787942 0.0368070253817997 0.0346708824629883 0.702632815235251 0.703531882048341 0.677065557153497 0.0029476763413794 0.00299759204144923 0.00316294305553068 0.00806463086016852 0.00824514472639446 0.00866858154440513
"result.13" 0.0364817660873573 0.0384473769470859 0.0306217682257362 0.657093416857324 0.656749543339538 0.645138375207401 0.00439120063142319 0.00438895535832307 0.00437696987280648 0.0118994753875953 0.0117678257226648 0.0113840369541631
"result.14" 0.0326842880058824 0.0342264706684211 0.03502588443911 0.708032810647785 0.708574976875277 0.702446646298787 0.00407548779906845 0.00424741028956141 0.00496749649132741 0.0103465138754625 0.0106031016363996 0.0104865902921869
"result.15" 0.0368259211055703 0.0388317377863096 0.0370785102094271 0.743001861087914 0.742585194421248 0.737499536423982 0.00456483595406044 0.00461096294870575 0.00477753552520571 0.0100393584532305 0.010003083101155 0.00978202639342345
"result.16" 0.0466010293900837 0.048996289685344 0.0396134246685569 0.798921758980198 0.798981282789722 0.794399822738249 0.00420906193540679 0.00445059463812945 0.00397570147180232 0.00721529213439292 0.0072337579259272 0.00711068163305914
"result.17" 0.0482947694320537 0.0491504467504238 0.0426660620093401 0.812336885240003 0.81295078283666 0.810932129800256 0.00488148460658683 0.00497820105070414 0.0040674676518448 0.00852755026504238 0.00860792582166085 0.0087509832763378
"result.18" 0.047120385934924 0.050435981566187 0.048115474889428 0.831220596506968 0.830206024777893 0.833152178004741 0.0050195364381097 0.00531570335916826 0.00519990566343985 0.00843762125219676 0.00859409512425897 0.00837913124995326
"result.19" 0.0356039761408592 0.0379071154896067 0.0347585663645784 0.692341603303967 0.691852632839505 0.685743820425688 0.00219875479739312 0.00254433615749264 0.00227831685665849 0.00534601845770803 0.00535476129505811 0.00550390625596644
"result.20" 0.0394325376262406 0.0395748264081476 0.0386730005736133 0.740968919076325 0.741010410619662 0.737945231499772 0.00232899528161482 0.00233732067751474 0.00245762044832204 0.00561954301117406 0.00555476257923632 0.00566032175403784
"result.21" 0.0396056215389884 0.0404489078244009 0.0382046468986004 0.794307769858847 0.795056586483463 0.791807530768117 0.00231154992343839 0.00237753692653918 0.00236462142558187 0.00439707394886626 0.00444652574873528 0.00446725148691183
"result.22" 0.0372641176954152 0.0373204252673878 0.0377062139848648 0.804105038755933 0.805071228901454 0.800886404492221 0.00232709831416467 0.00236541124125113 0.00262231276486577 0.00478127446628814 0.00478854432084855 0.00474758059970571
"result.23" 0.0430540527082131 0.0444182740169676 0.0433606354292414 0.834774493596754 0.834877967976976 0.832310937078638 0.00270520911717954 0.0029700356493707 0.00263528207673066 0.0048405129205526 0.00488118678111645 0.00475881653836428
"result.24" 0.0411421429412974 0.0406176983728442 0.0400641426690746 0.854552922862326 0.855415360751628 0.851931908894749 0.00243130442610979 0.0024648380782058 0.00281706052885671 0.00393735530096115 0.00394293238528657 0.00378747986803392
