"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"result.1" 0.02 0.0225 0.01 0.0145 0.0415869728578419 0.0219958263778651 0.044975440265936 0.0281956559164683 0.014070529413629 0.014255514616095 0.01 0.0109243264822555 0.00783059351662859 0.00494225304648221 0.00812464416809494 0.00684398939073088
"result.2" 0.00392857142857143 0 0.0158095238095238 0.0134090909090909 0.0898618681313257 0.0453912535962644 0.0995971155597119 0.0581111252990674 0.0028668216293276 0 0.0075765046013878 0.00747240101035163 0.0106394466567717 0.00648026748353945 0.0123662606581361 0.00806649338757898
"result.3" 0.01 0.00833333333333333 0.00385531135531136 0.0216595441595442 0.117676434818874 0.0838811751554593 0.139836193193983 0.0910309659964214 0.01 0.00685549088914052 0.00253888109782326 0.0105411554462645 0.0129098058269338 0.00998967075578411 0.0144847447310689 0.0107702325428367
"result.4" 0 0.00987301587301587 0.00599007936507936 0.0282365312791783 0.181815183705946 0.11651918185597 0.207084723573014 0.133463859451915 0 0.00609844642594296 0.00247246875002116 0.00991033878170685 0.0159205659742835 0.0116688468585514 0.0170344325831088 0.0133472193627044
"result.5" 0.000909090909090909 0.00513005050505051 0.00607255244755245 0.0175344622697564 0.207662697553733 0.151050711006466 0.22595773775408 0.168874824631722 0.000909090909090909 0.00244922056634763 0.00313262020479814 0.00606842598049067 0.0174800485724163 0.014241944152254 0.0199141849840521 0.016228470628952
"result.6" 0.00674542124542125 0.0231981156098803 0.0146236998295822 0.0395360138227785 0.276963340866312 0.208429174781744 0.300120923991287 0.235930810978142 0.00362767591997442 0.00799621197678539 0.00485763320759918 0.0100904228752145 0.0192959371304491 0.0159360695123536 0.0206771174732923 0.0168723878211929
"result.7" 0.00396454860928545 0.0343551587301587 0.0117741231778978 0.0634502515249494 0.104819976300777 0.0206800490373577 0.13202932979782 0.0270062565641935 0.00221663603420464 0.0140670173227802 0.0034580973625215 0.0176098502173393 0.0113024255373445 0.00417204699100351 0.013556918534976 0.00539434983972634
"result.8" 0.0048729797979798 0.0562825421704732 0.0165541979694204 0.0861888284656641 0.154648050079534 0.0243341890096577 0.197576647123748 0.0432215586549862 0.00169136606073033 0.0176708096847762 0.00318898158267458 0.0186995771497159 0.0121815192004606 0.00366080720730682 0.0144539051000414 0.00539880818035098
"result.9" 0.00786892476495192 0.0549131821228321 0.0180054125365985 0.0648460443147137 0.202075086687843 0.0503390396431156 0.25183326969304 0.0699956155590542 0.00325997801086301 0.0165441522015326 0.00334404660397824 0.0137553286694146 0.0138480913884719 0.0060025523586219 0.0157859526996028 0.00749919481998684
"result.10" 0.00414314152058099 0.0461451314405311 0.0118297306382655 0.0816988601605584 0.230009001686267 0.0688039688616313 0.284873262872567 0.101181931233367 0.00114206153597813 0.0130514286549625 0.00195963311767902 0.0157631675918022 0.0157008969737315 0.00739609796601044 0.0174955229832682 0.00946108978938693
